zone_id,lat_grid,lon_grid,total_locations,avg_location_score,rescaled_score,restaurant_count,business_count,bus_stop_count,divvy_station_count,population_total_cell,zone_class_mode,geom,geojson,centroid
48,41.69,-87.54,11,27,44,1,3,6,1,330136,RS-2,"POLYGON((-87.54 41.69, -87.53 41.69, -87.53 41.7, -87.54 41.7, -87.54 41.69))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.54, 41.69], [-87.53, 41.69], [-87.53, 41.7], [-87.54, 41.7], [-87.54, 41.69] ] ] } ",POINT(-87.5349999999905 41.694999978785)
130,41.74,-87.61,50,27,44,20,17,11,2,2266546,B3-2,"POLYGON((-87.61 41.74, -87.6 41.74, -87.6 41.75, -87.61 41.75, -87.61 41.74))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.61, 41.74], [-87.6, 41.74], [-87.6, 41.75], [-87.61, 41.75], [-87.61, 41.74] ] ] } ",POINT(-87.6050000000418 41.7449999785925)
234,41.79,-87.69,64,28,46,35,12,13,4,4840730,B3-1,"POLYGON((-87.69 41.79, -87.68 41.79, -87.68 41.8, -87.69 41.8, -87.69 41.79))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.69, 41.79], [-87.68, 41.79], [-87.68, 41.8], [-87.69, 41.8], [-87.69, 41.79] ] ] } ",POINT(-87.6850000000252 41.7949999783765)
390,41.89,-87.72,8,31,51,1,5,0,2,216948,RT-4,"POLYGON((-87.72 41.89, -87.71 41.89, -87.71 41.9, -87.72 41.9, -87.72 41.89))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.72, 41.89], [-87.71, 41.89], [-87.71, 41.9], [-87.72, 41.9], [-87.72, 41.89] ] ] } ",POINT(-87.7150000000059 41.8949999779637)
393,41.89,-87.69,27,31,51,9,6,10,2,514665,PMD-4,"POLYGON((-87.69 41.89, -87.68 41.89, -87.68 41.9, -87.69 41.9, -87.69 41.89))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.69, 41.89], [-87.68, 41.89], [-87.68, 41.9], [-87.69, 41.9], [-87.69, 41.89] ] ] } ",POINT(-87.6850000000142 41.8949999779582)
435,41.91,-87.65,118,44,72,81,21,11,5,4399468,C3-5,"POLYGON((-87.65 41.91, -87.64 41.91, -87.64 41.92, -87.65 41.92, -87.65 41.91))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.65, 41.91], [-87.64, 41.91], [-87.64, 41.92], [-87.65, 41.92], [-87.65, 41.91] ] ] } ",POINT(-87.6450000000269 41.9149999778639)
450,41.92,-87.69,148,37,61,102,22,20,4,10851116,B3-2,"POLYGON((-87.69 41.92, -87.68 41.92, -87.68 41.93, -87.69 41.93, -87.69 41.92))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.69, 41.92], [-87.68, 41.92], [-87.68, 41.93], [-87.69, 41.93], [-87.69, 41.92] ] ] } ",POINT(-87.6849999999959 41.9249999778447)
497,41.95,-87.84,3,23,39,1,0,2,0,75995,B2-3,"POLYGON((-87.84 41.95, -87.83 41.95, -87.83 41.96, -87.84 41.96, -87.84 41.95))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.84, 41.95], [-87.83, 41.95], [-87.83, 41.96], [-87.84, 41.96], [-87.84, 41.95] ] ] } ",POINT(-87.835000000014 41.954999977681)
504,41.95,-87.77,58,28,46,35,6,14,3,3115795,B3-1,"POLYGON((-87.77 41.95, -87.76 41.95, -87.76 41.96, -87.77 41.96, -87.77 41.95))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.77, 41.95], [-87.76, 41.95], [-87.76, 41.96], [-87.77, 41.96], [-87.77, 41.95] ] ] } ",POINT(-87.7649999999872 41.9549999776782)
611,42,-87.68,41,32,53,25,12,3,1,1579134,B3-2,"POLYGON((-87.68 42, -87.67 42, -87.67 42.01, -87.68 42.01, -87.68 42))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 42], [-87.67, 42], [-87.67, 42.01], [-87.68, 42.01], [-87.68, 42] ] ] } ",POINT(-87.6749999999985 42.0049999775363)
